Row,LigninContent,SGratio,Ssubunits,Gsubunits,Hsubunits,PBcontent,CLratio,Aldehydes,betaO4,beta5,betabeta,beta1,Endgroups,HeightRate,DiameterRate,VolumeRate,Glucose,Xylose,TotalSugar,Relativedensity,MOE,Glucoseunpretreated,Xyloseunpretreated,Glucosepretreated,Xylosepretreated
NSF3_i35.15.3,22.1126649,,,,,,2.979989236,,,,,,,88.0,0.18,71.92676381,44.540666200000004,16.0412142,65.89550339,0.36405,2349.49,16.749412699999997,14.32435208,52.36720056,75.36337243
NSF3_i69.04.1,11.90863134,2.77,49.4,17.8,32.8,5.4,7.678429457999999,0.0,85.8,5.1,9.0,0.0,5.9,61.66,0.17,52.08053958,64.39047737,24.17125956,91.43958569,0.27604,1337.07,52.97134203,33.92086366,66.95974586,66.76482854
NSF3_i69.04.2,10.94061118,,,,,,7.149330127000001,,,,,,,60.33,0.15,42.77526781,54.51330985,19.23903112,78.21804114,0.26018,931.04,65.24186497,44.69767707,82.74217824,77.47011744
NSF3_i69.04.3,12.38058561,,,,,,6.21839067,,,,,,,89.33,0.1,48.76152234,52.112077299999996,20.45481062,76.98731807,0.24752,1001.28,63.47818339,42.040966100000006,77.47743343,78.09067654
NSF3_i69.10.1,18.41386139,2.55,71.4,28.0,0.5,4.1,4.5371796060000005,0.0,86.3,2.9,7.9,2.8,6.0,73.66,0.14,62.77220602,56.96998906,21.22838189,83.54699635,0.45797,4646.7,19.2181887,4.073791421,41.18449097,39.90648013
NSF3_i69.13.1,13.60193257,3.06,56.6,18.5,24.9,4.2,6.777141472,0.0,87.0,3.7,9.3,0.0,6.5,68.67,0.16,57.17701576,62.21681999,24.40795956,92.18222133,0.30091999999999997,1752.93,43.04221913,25.65310707,64.17685765,64.51420063
NSF3_i69.13.2,13.41707023,,,,,,5.872541962000001,,,,,,,66.67,0.19,60.65753795,54.13915531,20.49873216,78.79230794,0.27559,3271.05,52.27067146,31.57414786,77.05624472,76.12373234
NSF3_i69.13.3,13.24157989,,,,,,6.046255815,,,,,,,64.33,0.17,56.39831586,54.59275774,20.81045519,80.06197941,0.28567,1674.73,53.16840768,31.37125037,74.24812682,72.34248296
NSF4_WT_CK.1,23.05593647,1.88,65.0,34.6,0.4,4.9,2.822327352,6.7,84.6,5.0,7.6,2.8,6.9,45.33,0.12,32.31661644,43.22753839999999,17.154378100000002,65.07140013,0.30194,2883.42,26.50602006,8.957480073,38.12893496,31.62632867
NSF4_WT_CK.2,23.68719094,1.87,64.9,34.7,0.4,5.0,2.572515811,0.0,84.8,5.0,7.5,2.7,6.9,67.34,0.14,42.57284596,40.6575269,15.8594494,60.93567320000001,0.32309,2956.72,29.22164949,8.890598686,38.61523609,32.46770976
